,prop,subevent,role,causation,syntax,lr,batch_size,epoch,finished,exp,mean_rank,MRR,H@1,H@3,H@10
0,0,0,0,1,simple_rdf_sp,1e-05,256,10,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep10,42.8539,0.4417,0.3277,0.501,0.6566
2,0,0,0,1,simple_rdf_sp,1e-05,128,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs128_ep1,358.31,0.1261,0.0501,0.1566,0.2724
3,0,1,0,1,simple_rdf_reification,3e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr3e-05_bs512_ep1,806.1797,0.2743,0.2357,0.2871,0.3443
4,0,0,0,1,simple_rdf_prop,1e-05,1024,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs1024_ep1,809.0539,0.0215,0.0,0.0143,0.0605
5,0,0,0,1,simple_rdf_reification,1e-05,256,10,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs256_ep10,152.2906,0.3438,0.2918,0.3725,0.4276
7,0,0,0,1,simple_rdf_reification,3e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr3e-05_bs512_ep1,494.9213,0.1869,0.1466,0.1974,0.2677
8,0,1,0,1,simple_rdf_sp,1e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs512_ep1,736.4873,0.1088,0.05,0.1188,0.2359
9,1,0,0,1,simple_rdf_sp,1e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs512_ep1,615.3547,0.0634,0.0063,0.0631,0.1764
11,0,0,0,1,simple_rdf_prop,1e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs512_ep1,588.1308,0.0406,0.0,0.0341,0.1308
12,1,0,0,1,simple_rdf_reification,1e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs512_ep1,680.0919,0.0741,0.0347,0.0592,0.1716
14,1,0,0,1,simple_rdf_reification,5e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr5e-05_bs512_ep1,166.7985,0.3184,0.2452,0.3472,0.4597
15,0,1,0,1,simple_rdf_reification,5e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr5e-05_bs512_ep1,780.7886,0.2937,0.2567,0.3053,0.3602
17,0,0,0,1,simple_rdf_sp,5e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr5e-05_bs512_ep1,379.9812,0.1297,0.0522,0.1608,0.2766
18,1,0,0,1,simple_rdf_sp,5e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr5e-05_bs512_ep1,193.2139,0.2814,0.1937,0.3049,0.4582
19,0,0,0,1,simple_rdf_reification,1e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs512_ep1,911.7266,0.0455,0.0019,0.0901,0.1295
21,0,0,0,1,simple_rdf_sp,1e-05,1024,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs1024_ep1,861.262,0.0261,0.0,0.0292,0.0741
23,0,0,0,1,simple_rdf_prop,1e-05,256,10,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs256_ep10,42.1891,0.4601,0.3462,0.5242,0.6747
24,0,1,0,1,simple_rdf_prop,5e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr5e-05_bs512_ep1,185.8625,0.3282,0.2199,0.3799,0.5367
25,0,1,0,1,simple_rdf_reification,1e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs512_ep1,853.6588,0.2207,0.1865,0.2301,0.2773
26,1,0,0,1,simple_rdf_prop,3e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr3e-05_bs512_ep1,264.2144,0.2161,0.121,0.2401,0.4223
28,0,0,0,1,simple_rdf_reification,1e-05,512,10,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs512_ep10,160.1091,0.3145,0.2615,0.3427,0.4055
29,0,0,0,1,simple_rdf_prop,1e-05,512,10,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs512_ep10,59.0483,0.396,0.2813,0.4538,0.6022
31,1,0,0,1,simple_rdf_prop,1e-05,256,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs256_ep1,384.3846,0.1555,0.0785,0.1684,0.3159
32,0,0,0,1,simple_rdf_prop,1e-05,256,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs256_ep1,419.0,0.0791,0.0154,0.0824,0.2143
33,1,1,0,1,simple_rdf_reification,1e-05,256,1,True,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs256_ep1,653.3211,0.3102,0.2552,0.3257,0.4223
37,0,1,0,1,simple_rdf_prop,3e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr3e-05_bs512_ep1,207.7401,0.3021,0.208,0.3382,0.496
39,0,0,0,1,simple_rdf_sp,1e-05,512,10,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs512_ep10,64.715,0.3821,0.2849,0.4113,0.5825
40,1,0,0,1,simple_rdf_reification,1e-05,256,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs256_ep1,372.0338,0.1911,0.1381,0.1923,0.3005
41,0,1,0,1,simple_rdf_reification,1e-05,512,10,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs512_ep10,759.7831,0.3213,0.2804,0.3372,0.3979
42,0,1,0,1,simple_rdf_prop,1e-05,256,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs256_ep1,245.823,0.2624,0.1714,0.3011,0.4363
44,0,1,0,1,simple_rdf_reification,1e-05,256,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs256_ep1,798.5135,0.2629,0.2258,0.275,0.3283
45,0,0,0,1,simple_rdf_sp,1e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs512_ep1,611.7923,0.0464,0.0,0.0439,0.1524
46,1,0,0,1,simple_rdf_reification,3e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr3e-05_bs512_ep1,281.8791,0.2354,0.166,0.2488,0.3675
47,0,1,0,1,simple_rdf_prop,1e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs512_ep1,538.4656,0.1202,0.0496,0.133,0.2677
48,0,1,0,1,simple_rdf_reification,1e-05,256,10,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs256_ep10,772.7818,0.3171,0.2773,0.3308,0.3895
50,0,1,0,1,simple_rdf_prop,1e-05,512,10,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs512_ep10,107.3506,0.4088,0.3022,0.4515,0.6297
51,0,0,0,1,simple_rdf_prop,1e-05,128,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs128_ep1,285.8395,0.1288,0.0483,0.1615,0.2923
52,0,1,0,1,simple_rdf_sp,1e-05,256,10,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep10,115.2822,0.4138,0.3058,0.4643,0.6293
53,1,1,0,1,simple_rdf_sp,1e-05,256,1,True,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep1,405.3466,0.3126,0.2235,0.3476,0.4922
54,0,0,0,1,simple_rdf_reification,1e-05,1024,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs1024_ep1,1132.9137,0.01,0.0,0.0032,0.0178
56,1,1,0,1,simple_rdf_prop,1e-05,256,1,True,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs256_ep1,394.8987,0.3298,0.2429,0.3605,0.5128
57,0,1,0,1,simple_rdf_sp,3e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr3e-05_bs512_ep1,236.6001,0.2939,0.187,0.3454,0.4995
58,0,1,0,1,simple_rdf_sp,1e-05,512,10,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs512_ep10,120.1573,0.4112,0.3041,0.4598,0.6227
59,0,0,0,1,simple_rdf_reification,1e-05,128,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs128_ep1,315.2627,0.2111,0.1719,0.2163,0.2798
60,0,0,0,1,simple_rdf_sp,1e-05,256,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep1,456.7964,0.0923,0.0272,0.0939,0.2412
61,0,1,0,1,simple_rdf_prop,1e-05,256,10,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs256_ep10,90.2204,0.4185,0.3123,0.4684,0.6336
62,1,0,0,1,simple_rdf_sp,1e-05,256,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep1,416.238,0.1737,0.0987,0.1864,0.3301
64,0,0,0,1,simple_rdf_prop,3e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr3e-05_bs512_ep1,403.3726,0.0788,0.0077,0.0945,0.2219
65,0,1,0,1,simple_rdf_sp,1e-05,256,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep1,341.3657,0.2426,0.1584,0.2701,0.4093
67,0,0,0,1,simple_rdf_reification,5e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr5e-05_bs512_ep1,362.3452,0.1959,0.1517,0.2074,0.2779
69,0,0,0,1,simple_rdf_prop,5e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr5e-05_bs512_ep1,357.212,0.0912,0.0143,0.1044,0.2626
70,1,0,0,1,simple_rdf_prop,1e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs512_ep1,636.2923,0.0538,0.0033,0.0467,0.1573
71,1,0,0,1,simple_rdf_prop,5e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr5e-05_bs512_ep1,209.9387,0.2735,0.1885,0.2987,0.4384
73,0,0,0,1,simple_rdf_sp,3e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr3e-05_bs512_ep1,410.8852,0.1235,0.049,0.1493,0.2589
74,0,0,0,1,simple_rdf_reification,1e-05,256,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs256_ep1,500.835,0.1193,0.0755,0.1174,0.2601
75,1,0,0,1,simple_rdf_sp,3e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr3e-05_bs512_ep1,312.6042,0.2134,0.1317,0.2319,0.3808
76,0,1,0,1,simple_rdf_sp,5e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr5e-05_bs512_ep1,165.4164,0.3267,0.2162,0.3751,0.533
